Date,Close
3/27/2013,1.0163
3/28/2013,1.0158
3/29/2013,1.0176
4/1/2013,1.0168
4/2/2013,1.0148
4/3/2013,1.0148
4/4/2013,1.0123
4/5/2013,1.0162
4/8/2013,1.0177
4/9/2013,1.0159
4/10/2013,1.0142
4/11/2013,1.0099
4/12/2013,1.0139
4/15/2013,1.0255
4/16/2013,1.0204
4/17/2013,1.0266
4/18/2013,1.0257
4/19/2013,1.0265
4/22/2013,1.0259
4/23/2013,1.0264
4/24/2013,1.0253
4/25/2013,1.0206
4/26/2013,1.0164
4/29/2013,1.0109
4/30/2013,1.0073
5/1/2013,1.0082
5/2/2013,1.008
5/3/2013,1.0073
5/6/2013,1.0068
5/7/2013,1.0045
5/8/2013,1.0031
5/9/2013,1.007
5/10/2013,1.011
5/13/2013,1.0109
5/14/2013,1.0172
5/15/2013,1.0171
5/16/2013,1.0189
5/17/2013,1.0291
5/20/2013,1.0234
5/21/2013,1.0262
5/22/2013,1.0377
5/23/2013,1.0302
5/24/2013,1.0323
5/27/2013,1.0328
5/28/2013,1.0393
5/29/2013,1.0353
5/30/2013,1.03
5/31/2013,1.0359
6/3/2013,1.0275
6/4/2013,1.0343
6/5/2013,1.0343
6/6/2013,1.026
6/7/2013,1.0194
6/10/2013,1.0186
6/11/2013,1.0189
6/12/2013,1.0214
6/13/2013,1.0171
6/14/2013,1.0171
6/17/2013,1.0176
6/18/2013,1.0202
6/19/2013,1.0266
6/20/2013,1.0374
6/21/2013,1.0452
6/24/2013,1.0476
6/25/2013,1.0506
6/26/2013,1.0471
6/27/2013,1.0473
6/28/2013,1.0511
7/1/2013,1.0497
7/2/2013,1.054
7/3/2013,1.051
7/4/2013,1.0518
7/5/2013,1.0569
7/8/2013,1.0559
7/9/2013,1.0523
7/10/2013,1.0505
7/11/2013,1.0379
7/12/2013,1.0393
7/15/2013,1.0427
7/16/2013,1.0369
7/17/2013,1.0415
7/18/2013,1.0381
7/19/2013,1.0363
7/22/2013,1.0338
7/23/2013,1.0286
7/24/2013,1.0317
7/25/2013,1.0256
7/26/2013,1.027
7/29/2013,1.0259
7/30/2013,1.0304
7/31/2013,1.0269
8/1/2013,1.0346
8/2/2013,1.0391
8/5/2013,1.0362
8/6/2013,1.037
8/7/2013,1.042
8/8/2013,1.0324
8/9/2013,1.0288
8/12/2013,1.0297
8/13/2013,1.0337
8/14/2013,1.0329
8/15/2013,1.03
8/16/2013,1.0335
8/19/2013,1.0342
8/20/2013,1.0385
8/21/2013,1.0463
8/22/2013,1.0517
8/23/2013,1.0497
8/26/2013,1.0501
8/27/2013,1.0477
8/28/2013,1.0478
